gene,control_rep2,exp_rep1,control_rep1,exp_rep2,exp_rep3,control_rep3
ENSG00000200664.1,0,0,0,0,0,0
ENSG00000226806.1,0,1,0,0,0,0
ENSG00000076003.5,12841,12492,14242,12363,13665,17456
ENSG00000214070.3,0,1,0,0,0,0
ENSG00000115866.11,8414,10331,9359,9795,8961,11317
ENSG00000231890.10,29,46,29,36,23,42
ENSG00000237262.1,0,0,1,0,0,4
ENSG00000121966.8,526,553,565,553,578,669
ENSG00000289974.1,0,0,0,0,0,0
ENSG00000227347.1,57,81,81,87,85,72
ENSG00000279024.1,0,1,0,1,0,0
ENSG00000230037.1,1,2,1,5,0,1
ENSG00000251976.1,0,0,0,0,0,0
ENSG00000229568.1,0,0,0,0,0,0
ENSG00000144229.13,913,1385,1107,1449,1025,1248
ENSG00000212425.1,0,0,0,0,0,0
ENSG00000222394.2,0,0,0,0,0,0
ENSG00000150540.14,306,572,358,581,385,403
ENSG00000224231.2,0,2,0,0,0,0
ENSG00000233045.1,13,5,9,21,14,16
ENSG00000234645.3,25,16,22,30,33,23
ENSG00000237939.1,1,0,1,2,2,1
ENSG00000232915.1,0,0,0,0,0,0
ENSG00000228043.5,16,17,12,21,17,22
ENSG00000230569.1,0,0,0,0,0,0
ENSG00000144228.9,2791,4565,3557,3994,3158,4081
ENSG00000241772.2,0,1,0,1,0,1
ENSG00000260059.1,0,0,0,2,2,1
ENSG00000237772.2,1,6,1,2,4,0
ENSG00000144227.5,1676,1911,1743,1744,2008,2138
ENSG00000222826.1,0,0,0,0,0,0
ENSG00000229104.1,0,1,2,1,3,0
ENSG00000232992.2,0,0,0,0,0,0
ENSG00000287147.1,0,0,0,0,0,0
ENSG00000286778.1,0,0,0,0,0,0
ENSG00000226939.1,0,0,0,0,0,0
ENSG00000229131.1,0,0,0,0,0,0
ENSG00000206901.1,0,0,0,0,0,0
ENSG00000235232.1,0,0,0,0,0,0
ENSG00000228374.1,0,0,0,0,0,0
ENSG00000223554.1,0,0,0,0,0,0
ENSG00000240977.3,0,0,0,0,0,0
ENSG00000224028.1,0,0,0,0,0,0
ENSG00000227149.1,0,0,0,0,0,0
ENSG00000231567.1,0,0,0,0,0,0
ENSG00000223921.1,0,0,0,0,0,0
ENSG00000168702.18,49,71,90,81,73,80
ENSG00000277306.1,0,0,0,0,0,0
ENSG00000283506.1,0,0,0,0,0,0
ENSG00000236440.1,1,0,1,0,1,0
ENSG00000238065.1,0,0,0,0,0,0
ENSG00000201892.1,0,0,0,0,0,0
ENSG00000252015.1,0,0,0,0,0,0
ENSG00000233329.1,0,0,0,0,0,0
ENSG00000244125.1,3,1,1,0,0,1
ENSG00000228134.1,0,0,0,0,0,0
ENSG00000229781.1,0,2,0,0,0,0
ENSG00000115919.15,63,99,180,231,107,133
ENSG00000270390.1,0,0,0,0,0,0
ENSG00000075884.14,3,7,4,1,9,7
ENSG00000224288.2,0,0,0,0,0,0
ENSG00000226839.1,0,0,0,0,0,0
ENSG00000224852.1,0,0,0,0,0,0
ENSG00000232772.1,0,0,0,0,0,0
ENSG00000236300.2,0,0,0,0,0,0
ENSG00000227557.1,0,0,0,0,0,0
ENSG00000225476.1,0,0,0,0,0,0
ENSG00000284167.1,0,0,0,0,0,0
ENSG00000231766.1,0,0,0,0,0,0
ENSG00000257284.1,0,0,0,0,0,0
ENSG00000228655.7,0,0,0,0,0,0
ENSG00000283994.1,0,0,0,0,0,0
ENSG00000231758.3,1,0,0,0,0,0
ENSG00000257277.2,1,1,2,0,3,5
ENSG00000257226.2,0,0,0,0,0,0
ENSG00000236356.1,0,0,0,0,0,0
ENSG00000200287.1,0,0,0,0,0,0
ENSG00000232377.1,0,0,1,0,0,1
ENSG00000121964.15,771,916,927,956,739,1121
ENSG00000169554.23,56,169,127,258,141,109
ENSG00000283118.1,1,0,0,0,0,0
ENSG00000279166.1,0,0,0,0,0,0
ENSG00000238057.10,0,0,0,0,0,0
ENSG00000275372.1,0,0,0,0,0,0
ENSG00000273537.1,0,0,0,0,0,0
ENSG00000277444.1,0,0,0,0,0,0
ENSG00000232606.3,0,0,0,0,0,0
ENSG00000287115.2,1,0,0,0,2,0
ENSG00000226674.11,0,0,1,0,1,1
ENSG00000234940.1,0,0,0,0,0,0
ENSG00000276706.1,0,0,0,0,0,0
ENSG00000235352.1,0,0,0,0,0,0
ENSG00000268580.1,0,0,0,0,0,0
ENSG00000235435.1,0,0,0,0,0,0
ENSG00000214064.3,0,0,1,0,0,0
ENSG00000225107.1,0,0,0,0,0,0
ENSG00000286225.1,0,6,9,2,2,2
ENSG00000226218.1,0,0,0,0,0,0
ENSG00000234119.1,0,1,3,0,0,0
ENSG00000233842.2,2,0,1,2,5,3
ENSG00000279876.1,0,0,0,0,0,0
ENSG00000251905.1,0,0,0,0,0,0
ENSG00000230559.1,0,0,0,0,0,0
ENSG00000227134.1,0,0,0,0,0,0
ENSG00000198526.7,0,0,1,0,0,0
ENSG00000231040.3,0,0,0,0,0,0
ENSG00000271583.1,0,0,0,0,0,0
ENSG00000287847.1,0,0,0,0,0,0
ENSG00000207225.1,0,0,0,0,0,0
ENSG00000207161.1,0,0,0,0,0,0
ENSG00000202074.1,0,0,0,0,0,0
ENSG00000253083.1,0,0,0,0,0,0
ENSG00000229143.1,0,0,0,0,0,0
ENSG00000121989.15,1852,2243,2116,1938,2034,2478
ENSG00000212389.1,0,0,0,0,0,0
ENSG00000223911.1,1,0,0,0,0,2
ENSG00000115947.14,4054,5178,4379,4756,4441,5156
ENSG00000204406.14,1545,2081,2025,2147,1694,2223
ENSG00000281469.1,0,3,1,0,2,0
ENSG00000281772.1,0,0,0,0,0,0
ENSG00000212181.1,0,0,0,0,0,0
ENSG00000224007.1,0,1,0,0,0,0
ENSG00000232238.1,0,0,0,0,0,0
ENSG00000135999.12,2261,2877,2635,2777,2390,3035
ENSG00000222126.1,0,0,0,0,0,0
ENSG00000223962.1,0,0,0,0,0,0
ENSG00000231079.7,2,2,2,1,5,6
ENSG00000228848.3,0,0,0,2,1,3
ENSG00000226340.1,1,1,1,0,3,8
ENSG00000168280.18,6214,6967,7811,7196,6444,8874
ENSG00000289474.2,12,8,5,13,15,7
ENSG00000286167.1,0,0,0,0,0,0
ENSG00000150556.17,6638,8565,7230,8326,9133,9269
ENSG00000228236.2,0,1,0,0,1,0
ENSG00000286335.1,0,5,2,7,3,7
ENSG00000224337.1,0,0,0,0,0,0
ENSG00000187123.15,5484,5736,6340,5896,6408,7618
ENSG00000223604.1,0,0,0,0,1,0
ENSG00000168288.13,8229,10657,9411,9391,9656,11122
ENSG00000231969.4,33,39,33,35,31,33
ENSG00000207270.1,0,0,0,0,0,0
ENSG00000162947.5,2,0,1,0,1,0
ENSG00000286081.2,0,0,0,0,0,0
ENSG00000230645.2,0,0,0,0,0,0
ENSG00000231420.1,0,0,0,0,0,0
ENSG00000115963.14,4654,6261,4937,5713,5219,6196
ENSG00000236049.1,0,0,0,0,1,0
ENSG00000237220.1,0,0,0,0,0,0
ENSG00000232359.1,0,0,0,0,0,0
ENSG00000224048.6,0,0,0,0,0,0
ENSG00000228064.1,1,5,0,0,1,0
ENSG00000222031.1,0,0,0,0,0,0
ENSG00000236885.2,0,0,0,0,0,0
ENSG00000213201.3,3,2,1,5,4,2
ENSG00000184898.7,210,315,302,359,228,313
ENSG00000123609.11,103,130,127,159,95,173
ENSG00000123610.5,0,3,1,3,3,3
ENSG00000283569.1,0,0,0,0,0,0
ENSG00000264684.1,0,0,0,0,0,0
ENSG00000242113.3,0,0,0,0,0,0
ENSG00000080345.18,6688,9085,7895,8257,6208,9263
ENSG00000183091.21,151,146,155,134,172,193
ENSG00000162980.17,3656,5289,4343,3856,4118,4857
ENSG00000288066.1,590,815,752,653,831,825
ENSG00000283228.1,0,0,0,0,0,0
ENSG00000182389.20,51,35,34,20,43,46
ENSG00000225214.1,0,0,0,0,0,0
ENSG00000115145.10,1679,2465,1979,2378,1736,2293
ENSG00000234272.1,0,0,1,0,0,2
ENSG00000286234.1,4,2,0,2,1,1
ENSG00000199884.1,0,0,0,0,0,0
ENSG00000157827.20,6041,8359,7699,8720,6114,8531
ENSG00000213197.3,1,2,4,4,2,2
ENSG00000287085.1,1,1,0,0,0,1
ENSG00000270776.1,0,0,0,0,0,0
ENSG00000286207.1,36,53,52,46,28,57
ENSG00000196504.21,17898,22790,21192,21562,19149,24854
ENSG00000177917.12,1747,2391,2235,2241,2216,2476
ENSG00000234932.2,0,0,0,0,0,1
ENSG00000226213.1,0,0,0,0,0,0
ENSG00000214025.2,0,0,0,0,0,0
ENSG00000224612.2,0,0,0,0,0,0
ENSG00000226338.1,0,0,0,0,0,0
ENSG00000227708.1,0,0,0,0,0,2
ENSG00000214024.2,0,0,0,0,0,0
ENSG00000242575.1,10,19,12,28,16,11
ENSG00000227400.2,2,8,4,9,1,5
ENSG00000200377.1,0,0,0,0,0,0
ENSG00000177519.4,89,89,93,77,112,123
ENSG00000236917.1,0,0,0,0,0,0
ENSG00000144278.15,2421,2892,2932,2753,2696,3377
ENSG00000230251.1,2,3,3,9,4,1
ENSG00000224675.1,8,15,11,13,22,18
ENSG00000238004.1,0,0,0,0,0,0
ENSG00000223290.1,0,0,0,0,0,0
ENSG00000287900.1,218,290,259,329,308,297
ENSG00000162989.5,3907,5962,4745,5645,5573,5255
ENSG00000228837.2,5,16,7,15,1,4
ENSG00000230991.2,20,108,38,103,24,36
ENSG00000223197.1,0,0,0,0,0,0
ENSG00000232982.1,0,0,0,0,0,0
ENSG00000229701.1,0,0,0,0,0,0
ENSG00000227682.3,0,0,0,0,0,0
ENSG00000293112.1,0,0,0,0,1,2
ENSG00000233709.1,0,0,0,0,0,0
ENSG00000233039.1,0,0,0,0,0,1
ENSG00000233248.1,0,0,0,0,0,0
ENSG00000229935.1,0,0,0,0,0,0
ENSG00000206718.1,0,0,0,0,0,0
ENSG00000286679.1,1,0,0,1,0,1
ENSG00000226383.7,107,154,140,172,108,153
ENSG00000235548.1,0,0,0,0,0,0
ENSG00000282440.1,0,0,4,0,1,0
ENSG00000153234.16,563,854,708,759,944,903
ENSG00000115159.17,10436,12501,12433,10732,12192,14239
ENSG00000283436.1,0,0,0,0,0,0
ENSG00000238069.1,0,0,0,0,0,0
ENSG00000287048.1,1,2,3,0,1,4
ENSG00000286889.1,2,0,0,0,0,1
ENSG00000286530.1,0,0,0,0,0,0
ENSG00000213194.3,1,3,2,3,3,2
ENSG00000136542.9,820,1793,1041,1725,1088,1144
ENSG00000222404.1,1,0,0,0,0,1
ENSG00000136541.15,30,27,46,22,26,46
ENSG00000230562.3,5,4,9,12,8,16
ENSG00000115165.10,18,23,33,20,28,31
ENSG00000123612.16,1693,582,1772,581,1070,1989
ENSG00000234584.1,1,2,5,1,1,3
ENSG00000115170.16,1761,2561,2248,2434,2273,2644
ENSG00000007001.13,0,0,1,3,0,2
ENSG00000270557.1,1,1,1,4,2,6
ENSG00000251980.1,0,0,0,0,0,0
ENSG00000271320.1,0,0,0,2,0,0
ENSG00000228937.1,0,1,0,0,1,0
ENSG00000212410.1,0,0,0,0,0,0
ENSG00000231158.1,1,0,0,1,0,1
ENSG00000237327.1,0,0,0,0,0,0
ENSG00000227480.2,0,0,0,0,0,1
ENSG00000153237.19,83,62,64,60,45,86
ENSG00000234890.1,0,0,0,0,0,1
ENSG00000243723.3,0,0,0,0,0,1
ENSG00000144283.23,7804,8860,9333,9250,8498,10836
ENSG00000289488.1,0,1,2,0,1,1
ENSG00000227331.1,2,2,4,8,1,1
ENSG00000204380.4,3,16,17,10,6,14
ENSG00000228586.1,0,3,0,0,0,0
ENSG00000231675.1,0,0,0,0,1,1
ENSG00000163331.12,101,13,108,9,58,126
ENSG00000286621.1,1,0,0,0,0,0
ENSG00000243792.1,0,0,0,0,0,0
ENSG00000251491.2,0,0,0,0,0,1
ENSG00000188668.4,0,0,0,1,0,1
ENSG00000222300.1,0,0,0,0,0,0
ENSG00000115183.15,3727,5366,4812,5665,3907,5461
ENSG00000213189.5,20,36,20,34,33,48
ENSG00000202029.1,0,0,0,0,0,0
ENSG00000226878.2,0,0,0,2,0,0
ENSG00000275141.1,0,0,0,0,0,0
ENSG00000196151.11,494,705,596,674,576,724
ENSG00000123636.19,3098,4328,3793,4430,3008,4527
ENSG00000223642.7,2,0,1,0,0,0
ENSG00000270893.1,1,0,0,1,0,2
ENSG00000225369.1,0,0,0,0,0,0
ENSG00000207117.1,0,1,0,0,0,0
ENSG00000224152.3,78,74,90,84,98,119
ENSG00000226266.8,23,20,16,26,13,28
ENSG00000230783.1,1,0,0,1,2,2
ENSG00000136536.15,7029,9872,8729,8649,7737,10062
ENSG00000241399.7,477,620,534,562,478,654
ENSG00000248672.5,1,0,0,3,0,1
ENSG00000287091.1,52,60,46,68,72,55
ENSG00000054219.11,97,82,126,115,115,118
ENSG00000227055.1,0,0,0,0,0,0
ENSG00000153246.13,147,251,206,304,199,244
ENSG00000115221.12,444,971,649,848,458,697
ENSG00000285155.1,0,0,0,0,0,0
ENSG00000285373.3,2,6,3,0,2,1
ENSG00000153250.21,6030,8890,7199,8518,6948,8364
ENSG00000283734.1,0,0,0,0,0,0
ENSG00000279844.1,0,0,0,0,0,0
ENSG00000244372.3,0,0,0,0,0,0
ENSG00000232337.1,0,0,0,0,0,0
ENSG00000224467.1,0,0,0,0,0,0
ENSG00000136560.14,1241,1862,1563,1873,1409,1679
ENSG00000235724.10,7,17,5,12,13,10
ENSG00000227403.3,166,361,206,288,212,230
ENSG00000225813.1,0,0,0,0,0,0
ENSG00000115233.12,10066,12806,11255,12005,11931,13626
ENSG00000232320.6,39,29,29,27,58,40
ENSG00000271924.1,0,6,4,1,1,1
ENSG00000136535.15,0,3,0,1,2,1
ENSG00000224076.5,0,0,0,0,0,0
ENSG00000251621.1,0,0,0,0,0,0
ENSG00000144290.17,3,2,8,1,2,6
ENSG00000280105.1,0,0,0,0,0,0
ENSG00000226121.2,59,68,60,91,64,89
ENSG00000238570.1,0,0,0,0,0,0
ENSG00000226946.1,0,0,0,0,0,0
ENSG00000288091.1,0,0,0,0,0,0
ENSG00000235716.1,0,0,0,0,0,0
ENSG00000234732.1,0,0,0,0,0,0
ENSG00000197635.11,9934,15486,14370,17243,11238,15435
ENSG00000230918.3,31,41,43,68,36,39
ENSG00000231445.1,0,0,0,0,0,0
ENSG00000224674.1,0,0,0,0,0,0
ENSG00000233397.3,0,0,1,0,0,0
ENSG00000115263.15,22456,2788,21147,2280,11488,27906
ENSG00000236841.8,0,0,3,0,1,1
ENSG00000078098.15,2,13,14,16,6,14
ENSG00000115267.10,356,599,519,529,333,616
ENSG00000115271.11,3103,3780,4052,3807,3388,4521
ENSG00000184611.14,570,603,602,615,494,774
ENSG00000212312.1,0,0,0,0,0,0
ENSG00000237750.2,0,0,0,1,0,0
ENSG00000230282.1,0,1,2,1,5,1
ENSG00000200902.1,0,0,0,0,0,0
ENSG00000182263.14,1024,1379,1389,1339,1075,1469
ENSG00000237844.2,3,11,7,12,3,4
ENSG00000226847.1,0,0,0,0,0,0
ENSG00000229641.1,0,0,0,0,0,0
ENSG00000115290.11,1528,1647,1708,1683,1503,2086
ENSG00000277998.1,28,24,37,35,34,34
ENSG00000082438.18,1577,1755,1900,1684,1438,2366
ENSG00000224331.2,0,2,1,0,1,3
ENSG00000206869.1,0,1,0,1,0,1
ENSG00000236283.5,73,40,65,40,57,81
ENSG00000199508.1,0,0,0,0,0,1
ENSG00000169507.10,39,44,57,40,41,75
ENSG00000223318.1,0,0,0,0,0,0
ENSG00000153253.20,101,99,133,125,70,112
ENSG00000136531.19,40,104,70,107,83,94
ENSG00000233204.1,0,0,0,0,0,0
ENSG00000288089.1,0,0,0,0,0,0
ENSG00000178662.16,273,348,333,313,272,370
ENSG00000115339.14,2927,6056,3457,5380,3158,4010
ENSG00000235192.1,1,5,0,3,1,1
ENSG00000229195.1,0,2,1,4,1,2
ENSG00000232411.1,1,2,0,4,1,1
ENSG00000123607.16,1766,2137,2003,2356,1726,2420
ENSG00000224490.5,0,0,0,0,1,0
ENSG00000236107.10,1,1,0,2,0,0
ENSG00000144285.23,3,0,0,0,0,1
ENSG00000238813.1,0,0,0,0,0,0
ENSG00000222376.1,0,0,0,0,0,0
ENSG00000169432.19,591,769,673,713,694,864
ENSG00000136546.17,484,669,765,869,409,772
ENSG00000283657.1,0,1,0,0,0,0
ENSG00000163092.22,19,27,21,25,20,21
ENSG00000225182.1,0,0,0,0,0,0
ENSG00000254552.1,0,0,0,0,0,0
ENSG00000172318.6,4008,6523,4753,5894,4979,5427
ENSG00000228222.1,2,8,4,8,2,3
ENSG00000238357.1,0,0,0,0,0,0
ENSG00000214211.2,37,23,20,25,28,24
ENSG00000235335.3,4,4,2,0,2,2
ENSG00000198648.12,6652,13242,8430,12484,8196,9760
ENSG00000238259.1,0,0,0,0,0,0
ENSG00000241074.3,0,0,0,0,1,0
ENSG00000172292.15,4796,6605,5796,6356,4803,6334
ENSG00000265694.1,0,0,0,0,0,0
ENSG00000199348.1,0,0,0,0,0,0
ENSG00000227617.9,3,5,1,3,0,3
ENSG00000163072.16,396,645,492,605,380,565
ENSG00000152253.9,792,900,991,916,981,1200
ENSG00000152254.11,25,5,21,5,6,29
ENSG00000073734.10,0,0,0,0,0,0
ENSG00000073737.17,1,0,1,2,3,0
ENSG00000235321.1,0,0,0,0,0,0
ENSG00000235995.1,0,0,0,0,0,1
ENSG00000081479.15,6948,13850,8756,12993,7311,9969
ENSG00000163093.12,198,190,225,220,228,308
ENSG00000251569.1,0,0,0,0,0,0
ENSG00000239474.7,10,10,13,14,7,17
ENSG00000138399.18,1778,2290,2033,2142,1727,2421
ENSG00000229827.1,0,0,0,0,0,1
ENSG00000138398.17,7883,9961,9714,9686,7912,11416
ENSG00000154479.13,102,96,100,109,110,154
ENSG00000226072.1,1,0,0,1,0,0
ENSG00000144362.12,185,237,179,173,172,244
ENSG00000213160.10,5577,6961,6400,6487,5921,7411
ENSG00000206961.1,0,0,0,0,0,0
ENSG00000231550.1,2,2,6,2,1,2
ENSG00000214369.2,0,2,1,1,1,0
ENSG00000138385.16,16414,19707,18807,19405,18301,22989
ENSG00000138382.15,2575,3016,2738,2950,3074,3442
ENSG00000144357.18,3749,5117,4406,4812,3723,5002
ENSG00000227176.1,2,2,4,6,3,7
ENSG00000252807.1,0,0,0,0,0,0
ENSG00000071909.19,5,7,8,13,6,3
ENSG00000231898.9,0,0,0,0,0,0
ENSG00000214821.4,0,4,3,2,2,0
ENSG00000213981.8,1,0,1,0,2,3
ENSG00000275414.1,0,0,0,0,0,0
ENSG00000234350.7,1,5,7,12,4,7
ENSG00000222033.1,8,3,1,4,0,4
ENSG00000204335.4,7,3,16,3,14,10
ENSG00000128692.8,86,87,95,94,119,136
ENSG00000204334.8,94,121,133,120,136,147
ENSG00000222509.1,0,0,0,0,0,0
ENSG00000128683.14,9,12,19,11,19,22
ENSG00000235934.2,2,1,4,3,2,3
ENSG00000286611.1,0,0,0,0,0,0
ENSG00000286115.1,1,0,1,2,0,0
ENSG00000115806.13,8560,10211,9786,10579,10424,11940
ENSG00000198586.14,3596,4496,4461,4298,3738,5006
ENSG00000123600.21,1790,2426,2070,2413,1939,2499
ENSG00000224553.1,0,3,1,0,0,2
ENSG00000115827.14,1837,2589,2273,2430,1935,2612
ENSG00000228507.1,10,11,18,15,20,22
ENSG00000234061.1,5,4,3,6,2,5
ENSG00000233762.3,235,281,270,350,462,359
ENSG00000071967.12,45,94,73,116,97,73
ENSG00000233934.2,0,0,0,0,0,0
ENSG00000077380.16,13708,15781,14956,15431,14786,18353
ENSG00000115840.14,78,57,102,69,56,93
ENSG00000252779.1,0,0,0,0,0,0
ENSG00000128708.13,4042,4336,4336,4314,4207,5261
ENSG00000172878.14,307,383,316,400,381,431
ENSG00000288958.1,0,0,1,0,1,0
ENSG00000144355.15,0,0,1,0,2,4
ENSG00000289413.1,0,0,0,0,0,0
ENSG00000115844.11,0,5,1,0,2,1
ENSG00000236651.1,0,0,0,0,0,0
ENSG00000232555.2,1,0,0,1,0,0
ENSG00000288048.1,1,0,0,0,0,1
ENSG00000286557.1,0,0,0,0,0,0
ENSG00000278924.1,2,0,0,1,1,2
ENSG00000091409.16,7669,10932,9423,10046,7605,10908
ENSG00000226963.1,0,1,1,0,3,0
ENSG00000232788.1,3,3,4,2,4,2
ENSG00000225205.5,27,26,38,26,24,30
ENSG00000152256.14,1501,1479,1803,1703,1818,2073
ENSG00000199866.1,0,0,0,0,0,0
ENSG00000230104.1,0,0,1,0,0,1
ENSG00000228016.1,0,0,2,0,0,0
ENSG00000239041.1,0,0,0,0,0,0
ENSG00000091428.18,194,186,226,208,193,252
ENSG00000232292.1,0,0,0,0,0,0
ENSG00000091436.17,2876,3799,3593,3742,2971,3996
ENSG00000238133.6,6,4,10,9,9,4
ENSG00000231735.1,0,0,0,0,0,0
ENSG00000236391.4,1,1,0,0,0,1
ENSG00000293276.1,1,0,0,2,0,1
ENSG00000144354.15,3828,3562,4332,3408,3860,5181
ENSG00000213148.3,0,0,0,0,0,0
ENSG00000236832.1,0,0,0,0,0,0
ENSG00000226131.1,3,2,0,4,6,1
ENSG00000237016.1,0,0,0,0,0,1
ENSG00000237617.1,0,0,0,2,0,0
ENSG00000270460.1,0,3,0,3,0,0
ENSG00000234415.1,0,0,0,0,0,0
ENSG00000172845.18,7146,9901,9246,9525,7927,10194
ENSG00000289296.2,7,23,9,12,10,11
ENSG00000271151.1,2,8,5,5,7,10
ENSG00000273258.1,0,0,0,0,0,0
ENSG00000260868.1,0,1,1,1,0,1
ENSG00000235414.3,0,0,0,0,0,0
ENSG00000138430.16,15469,19707,16764,17347,18115,20827
ENSG00000270799.1,0,0,0,0,0,0
ENSG00000243770.3,0,0,0,0,0,0
ENSG00000201088.1,0,0,0,0,0,0
ENSG00000227180.1,0,0,0,0,0,0
ENSG00000237804.1,14,10,20,18,27,17
ENSG00000231453.1,0,0,0,1,0,0
ENSG00000280414.1,0,0,0,0,0,0
ENSG00000217236.2,1,1,0,0,0,0
ENSG00000138433.16,2568,3153,2913,2867,2897,3577
ENSG00000144306.15,912,1160,1042,1052,932,1263
ENSG00000163328.14,79,76,133,124,86,103
ENSG00000226853.5,20,37,27,27,52,33
ENSG00000179997.8,0,0,0,2,3,2
ENSG00000279884.1,0,0,0,0,0,0
ENSG00000236449.2,0,0,1,0,0,5
ENSG00000206965.1,2,1,3,5,5,3
ENSG00000115935.19,2268,2938,3011,3107,2469,3311
ENSG00000237798.1,0,0,0,0,0,0
ENSG00000290018.1,1306,1697,1669,1324,1642,1793
ENSG00000235655.3,1316,1701,1706,1587,1886,1982
ENSG00000138435.16,143,62,151,52,112,220
ENSG00000128656.15,2842,2961,3276,3082,3086,3893
ENSG00000212167.1,0,1,0,0,0,0
ENSG00000199827.1,0,0,0,0,0,0
ENSG00000227187.1,1,0,0,0,0,0
ENSG00000115966.18,3902,5035,4924,4950,4087,5516
ENSG00000277948.1,1,1,2,0,1,0
ENSG00000215973.1,0,0,0,1,0,0
ENSG00000229750.1,1,0,0,0,1,1
ENSG00000154518.10,16931,21811,19441,22717,23733,23340
ENSG00000200121.2,0,0,0,0,0,0
ENSG00000233131.1,0,4,6,0,1,4
ENSG00000229066.2,0,0,0,0,0,0
ENSG00000289349.1,10,11,8,11,9,7
ENSG00000223976.1,0,0,0,0,0,0
ENSG00000235047.1,0,0,0,0,0,0
ENSG00000229779.1,0,0,0,0,0,0
ENSG00000144320.14,1931,2740,2497,2763,2114,2667
ENSG00000174279.5,0,1,0,4,6,0
ENSG00000128714.6,2,14,6,28,36,6
ENSG00000170178.7,0,1,0,5,8,0
ENSG00000128713.14,1,0,0,0,5,0
ENSG00000128710.6,0,2,0,0,3,2
ENSG00000237380.7,0,0,0,2,0,0
ENSG00000128709.13,5,3,5,4,6,0
ENSG00000175879.9,2,1,1,2,4,1
ENSG00000128652.12,0,0,0,0,0,0
ENSG00000207744.1,0,0,0,0,0,0
ENSG00000170166.6,0,0,0,0,0,0
ENSG00000224189.8,36,57,26,27,55,42
ENSG00000272729.1,0,0,0,0,0,0
ENSG00000226363.4,2,2,4,1,2,5
ENSG00000128645.15,0,2,1,0,0,1
ENSG00000283880.1,0,0,0,0,0,0
ENSG00000279160.1,0,0,0,0,0,0
ENSG00000218175.2,142,209,183,171,265,188
ENSG00000230384.1,0,0,0,0,0,0
ENSG00000128654.14,2302,3102,2753,3101,2876,3220
ENSG00000237260.1,2,2,3,8,0,2
ENSG00000224577.4,7,1,1,1,0,1
ENSG00000229434.1,0,0,0,0,0,0
ENSG00000236231.1,0,0,0,0,0,0
ENSG00000283203.1,0,0,0,0,0,0
ENSG00000163364.12,0,2,2,5,5,0
ENSG00000252027.1,0,0,0,0,0,0
ENSG00000230552.6,0,0,0,1,1,0
ENSG00000237053.1,0,0,0,0,1,0
ENSG00000223777.1,0,0,0,0,0,0
ENSG00000279205.1,0,0,0,0,0,0
ENSG00000227098.2,0,0,0,0,0,0
ENSG00000206866.1,0,0,0,0,0,0
ENSG00000236501.6,0,1,0,4,0,0
ENSG00000229337.2,17,26,28,20,29,23
ENSG00000251746.1,0,0,0,0,0,0
ENSG00000226273.2,0,0,0,0,0,0
ENSG00000201102.1,0,0,0,0,0,0
ENSG00000213069.3,1,0,1,0,1,0
ENSG00000170144.22,24454,30489,30338,29618,28484,36221
ENSG00000284252.1,0,0,0,0,0,0
ENSG00000116044.17,16109,16695,18148,15867,17292,21867
ENSG00000225808.1,24,16,33,26,18,46
ENSG00000265396.1,0,0,0,0,1,0
ENSG00000222043.2,11,3,16,8,14,9
ENSG00000213963.7,356,433,489,342,391,565
ENSG00000271825.1,2,0,0,0,0,1
ENSG00000271996.1,3,1,1,0,0,0
ENSG00000278418.1,1,0,1,1,0,0
ENSG00000237178.2,0,0,0,0,1,0
ENSG00000238295.1,0,0,0,0,0,0
ENSG00000018510.18,10074,11561,11780,10578,9680,13350
ENSG00000196659.10,952,1173,1039,999,980,1175
ENSG00000237655.1,0,0,0,0,0,0
ENSG00000197557.7,1105,1293,1203,1095,1224,1468
ENSG00000128655.19,1136,414,1233,397,672,1344
ENSG00000229941.6,8,2,5,4,6,6
ENSG00000236664.1,0,0,0,0,0,0
ENSG00000213962.2,2,2,3,3,1,3
ENSG00000229744.1,0,0,0,0,0,0
ENSG00000206788.1,0,0,0,0,0,0
ENSG00000249909.1,0,0,0,0,0,0
ENSG00000227241.1,0,0,0,0,0,0
ENSG00000155636.16,898,1107,993,1089,1010,1264
ENSG00000223096.1,0,0,0,0,0,0
ENSG00000079156.17,639,437,765,412,603,932
ENSG00000223960.9,652,712,837,713,555,764
ENSG00000180228.14,3309,3748,3752,3719,3566,4351
ENSG00000204311.15,68,97,102,103,93,118
ENSG00000238082.1,8,7,5,10,9,9
ENSG00000079150.19,2094,2588,2327,2522,2633,2874
ENSG00000116095.11,1109,1506,1398,1344,1372,1550
ENSG00000237298.11,142,161,154,191,133,172
ENSG00000155657.29,4497,2884,5161,3037,3446,5902
ENSG00000270956.1,6,20,13,15,9,19
ENSG00000270277.1,22,17,10,24,6,18
ENSG00000279598.1,1,3,1,0,0,0
ENSG00000271011.1,0,0,0,0,0,0
ENSG00000270574.1,8,10,5,11,6,5
ENSG00000271141.1,0,0,0,0,2,0
ENSG00000271401.1,0,4,1,3,1,5
ENSG00000267784.1,1,0,0,0,3,5
ENSG00000287149.1,2,0,3,0,3,3
ENSG00000163492.16,2285,1110,2415,1135,1606,2948
ENSG00000238542.1,0,0,0,0,0,0
ENSG00000231541.1,0,0,0,0,0,0
ENSG00000187231.14,7092,7937,8687,7585,7101,10103
ENSG00000237477.1,0,0,0,0,0,0
